1144,0
2016,1
2020,20
22,3
4,16
5,15
a,242
about,10
access,1
according,11
achieve,1
administration,1
advanced,2
advantage,1
adversaries,3
adversary,2
advertisement,0
affiliated,1
after,4
against,6
agencies,7
agency,2
agents,1
aggressive,1
aided,1
aimed,1
alerts,1
all,9
allegations,1
already,1
also,3
am,24
america,1
american,0
amid,1
amplify,1
an,108
and,61
announced,3
another,1
antivaccine,0
antivax,1
antiviral,1
any,3
approved,2
are,11
around,4
aroundtheclock,0
aroused,1
as,40
assistant,1
astrazeneca,0
at,95
attacks,2
attempts,6
be,47
bear,0
because,4
been,7
before,1
began,1
believe,3
believed,1
benefited,1
bergman,0
besides,0
better,2
beyond,1
biomedical,1
biotech,3
biotechnology,1
black,1
bolster,1
both,2
breached,1
break,2
briefed,2
britain,0
british,0
broke,1
bryan,0
but,4
by,9
c,226
cables,1
campaigns,1
canada,0
candidates,1
carolina,0
case,5
catch,1
caught,1
cells,1
chance,2
checking,1
china,3
chinas,0
chinese,1
cia,26
city,1
clear,1
closely,1
cold,0
collect,4
collection,1
companies,6
complex,1
compressed,1
computer,5
concerned,1
concerns,1
conclusion,1
conducted,2
confusion,1
contest,2
contributed,1
coronavirus,23
corporate,1
corporation,2
corporations,1
could,5
council,0
countries,5
country,1
cozy,0
create,1
current,5
cuttingedge,0
cybersecurity,1
cyberweapons,1
damage,1
data,6
david,0
day,3
decades,1
defenses,3
defensive,1
demers,0
democratic,0
department,1
departments,0
deployed,1
detected,1
development,3
did,2
difficult,1
digital,1
directed,1
director,1
disinformation,4
dispatched,1
disrupted,1
disrupting,1
distrust,1
divisions,1
does,1
doing,3
drastically,1
e,308
each,6
early,5
earths,0
easy,1
effort,13
efforts,10
electronic,1
else,2
elsewhere,1
encounter,1
enforcement,1
epidemiology,1
escalate,1
espionage,4
et,28
europe,1
even,6
eventual,3
eventually,2
ever,5
every,3
everyone,1
exactly,1
exams,1
expand,2
expanded,1
expect,1
expert,2
experts,1
exploits,1
expressed,1
exquisite,1
extracting,1
familiar,2
far,1
fastest,1
fbi,0
february,0
federal,1
fiber,1
financial,1
find,4
finds,1
fiona,1
first,1
focused,2
foothold,1
for,60
foreign,1
forged,1
former,9
formulations,1
from,12
further,3
gaining,2
game,1
gaps,1
gather,2
gathering,1
gchq,0
geopolitical,1
get,15
getting,1
gilead,0
give,1
giving,1
globe,3
going,2
good,1
government,4
grand,1
greater,1
groundwork,1
group,2
groups,1
guard,1
guide,1
guys,2
hackers,8
hacking,11
had,5
has,8
have,21
health,0
help,9
helped,2
hill,1
his,2
homeland,0
house,0
how,6
hurt,1
identified,2
if,10
immediately,1
in,182
inadvertently,1
including,1
increased,1
infiltrate,1
influential,1
information,18
infrastructure,0
inroads,1
inside,2
insist,1
instead,1
institutes,1
institutions,3
intelligence,25
intensified,2
intensifying,1
intent,1
international,2
interviews,1
into,4
intrusions,1
invaluable,1
invested,1
iran,0
is,49
it,146
item,52
its,16
john,0
july,0
just,1
justice,0
known,3
kremlin,0
latest,2
law,2
learned,2
learning,1
least,3
leslie,0
less,1
licensing,1
likely,2
little,1
long,1
looked,2
looking,1
made,1
major,1
make,2
making,1
matter,1
may,3
medical,2
milestone,1
ministry,0
minton,0
mission,1
moderna,0
monitoring,2
moon,1
more,6
most,4
moved,1
movement,3
moves,1
mr,0
much,1
multiple,2
narrative,1
national,4
nato,0
nearly,2
need,1
networks,6
new,3
no,18
normally,1
north,0
not,10
novavax,0
now,4
observed,1
of,63
official,24
officials,16
old,3
on,136
one,9
only,2
operations,1
operatives,2
optic,1
or,125
orbit,1
ordered,2
organization,2
organizations,1
origins,1
other,10
others,2
out,16
outbreak,1
outpost,1
over,6
own,6
oxford,0
pandemic,4
part,12
partner,2
partnerships,1
patched,3
patches,1
peacetime,1
peer,1
penetrating,1
people,1
persistent,1
pharmaceutical,4
pits,2
pitting,1
played,1
point,2
position,1
possibility,1
premier,1
primarily,1
professional,0
promising,1
prompted,1
protect,7
protections,1
public,3
publicly,2
purposefully,1
pursue,1
push,3
pushed,1
questions,1
race,5
raised,1
reach,2
reality,1
really,1
receives,1
recent,2
reconnaissance,1
record,1
regularly,1
relied,1
reminiscent,1
reopening,12
reporting,1
research,20
researchers,2
resulting,1
revealed,1
review,2
right,2
robust,1
ronen,0
russia,2
russian,0
russians,0
russias,0
s,243
said,10
same,1
sanger,0
school,18
schools,9
sciences,0
scientists,1
scrutinize,1
search,20
sectionrace,0
sections,0
secure,1
security,7
seems,1
sept,0
servers,1
service,8
services,4
severely,1
share,1
sharply,1
she,1
shifts,1
shore,1
short,2
shortcuts,1
shows,1
simply,1
since,1
smashandgrab,0
so,16
society,1
some,5
somehow,1
sought,1
soviet,0
sow,1
space,1
speech,1
spies,2
spokeswoman,1
sponsored,1
spread,2
spy,12
spying,2
state,6
states,0
steal,10
stealing,2
stepped,1
stolen,1
strategies,1
studies,1
subsectionsite,0
succeeded,1
supported,0
sure,1
surprising,1
surreptitiously,1
surveillance,1
survey,1
suspicion,1
svr,0
systems,1
take,2
taken,1
tanks,1
target,11
targeted,3
teams,4
terrorist,1
test,7
than,4
that,14
the,104
thefts,1
their,10
them,5
themselves,1
there,2
they,7
this,0
those,4
threat,2
throwback,1
tighter,1
tightlist,4
time,36
timeline,1
times,32
timess,0
to,81
too,1
top,2
toward,1
track,5
tracking,1
traction,1
treatments,2
tried,1
trump,1
try,11
trying,7
turn,1
two,10
unc,4
under,1
union,0
united,0
universities,6
university,1
unknown,1
up,17
updated,0
us,77
use,13
used,6
using,2
vaccinated,1
vaccine,27
vaccines,2
valuable,2
versus,1
victims,0
view,7
viewed,1
virus,29
vulnerabilities,2
war,5
ware,0
warned,3
wars,1
was,6
washington,0
watch,1
ways,1
weaken,1
weaknesses,1
weeks,1
well,1
were,7
west,0
western,0
what,5
when,1
where,3
while,2
whip,1
white,1
who,2
with,9
work,15
world,5
worlds,0
would,3
wouldbe,0
yet,1
york,1
you,1
your,1
